Lion     king of the jungle
Dog      known by loyality
Giraffe  the tallest animal
Monkey   eats bananas
Cat      a pet that is known by its love to milk
Fish     lives in water
Horse    we use it in a riding sport
Camel    has the ability to tolerate thirst
Sheep    its skin is used in wool
Cheetah  the fastest of all animals
Cow      gives us milk
Elephant  the largest land animal with a long trunk
Zebra   has black and white stripes
Crocodile  large reptile with long body and strong jaws
Turtle  the slowest animal
Rabbit  has long ears and short tail
