Waiter	Serves you at restaurants
Dentist	You visit him when your tooth hurts
Nurse	Helps the doctor at hospitals
Doctor	You visit him when you are sick
Surgeon	Makes Surgries
Solider	Has an important role in wars
Photographer	Takes pictures for you
Pilot	Drives a plane
Farmer	Lives in a Farm
Fireman  Puts off fires
Lawyer		Gives a speech in a court
Policeman	Protects you in danger
Barber		Gives you a new hair look
Salesperson	Helps you at shops
Teacher		Teaches you at school
Gardener	Takes care of your garden
Painter		Gives your wall a new paint
Deliveryman	Delivers you products
